antecedent(s),consequent(s),antecedent frequency,antecedent support,consequent support,confidence,rule support,lift,confidence difference,confidence ratio,size antec.set,size conseq.set,rule ID
"Building Predictive Models, Time Series, Tables",FastTrack,6,0.017191977077363897,0.14613180515759314,0.6666666666666666,0.011461318051575931,4.562091503267973,0.5205348615090735,0.7808022922636103,3,1,591
"Intermediate Techniques, Tables, Intro to Platform & Statistics",Time Series,9,0.025787965616045846,0.14613180515759314,0.6666666666666666,0.017191977077363897,4.562091503267973,0.5205348615090735,0.7808022922636103,3,1,881
"Intermediate Techniques, Intro to Statistics, Intro to Platform & Statistics",Time Series,6,0.017191977077363897,0.14613180515759314,0.6666666666666666,0.011461318051575931,4.562091503267973,0.5205348615090735,0.7808022922636103,3,1,877
"Market Segmentation, ANOVA models, Classification and Clustering",Time Series,6,0.017191977077363897,0.14613180515759314,0.6666666666666666,0.011461318051575931,4.562091503267973,0.5205348615090735,0.7808022922636103,3,1,837
"Building Predictive Models, Market Segmentation, ANOVA models, Classification and Clustering",Time Series,6,0.017191977077363897,0.14613180515759314,0.6666666666666666,0.011461318051575931,4.562091503267973,0.5205348615090735,0.7808022922636103,4,1,1037
"Intermediate Techniques, Intro to Statistics, Intro to Platform & Statistics",FastTrack,6,0.017191977077363897,0.14613180515759314,0.6666666666666666,0.011461318051575931,4.562091503267973,0.5205348615090735,0.7808022922636103,3,1,843
"Building Predictive Models, Maps, Intermediate Techniques",Time Series,6,0.017191977077363897,0.14613180515759314,0.6666666666666666,0.011461318051575931,4.562091503267973,0.5205348615090735,0.7808022922636103,3,1,612
"Tables, Intro to Statistics, Intro to Platform & Statistics",Time Series,6,0.017191977077363897,0.14613180515759314,0.6666666666666666,0.011461318051575931,4.562091503267973,0.5205348615090735,0.7808022922636103,3,1,895
"Time Series, Intro to Statistics, Tables",FastTrack,6,0.017191977077363897,0.14613180515759314,0.6666666666666666,0.011461318051575931,4.562091503267973,0.5205348615090735,0.7808022922636103,3,1,860
"ANOVA models, Intro to Statistics",Classification and Clustering,10,0.02865329512893983,0.1318051575931232,0.6,0.017191977077363897,4.552173913043479,0.4681948424068768,0.7803247373447947,2,1,249
"Intro to CHAID, Intro to Statistic platform, Intro to Statistics",Classification and Clustering,10,0.02865329512893983,0.1318051575931232,0.6,0.017191977077363897,4.552173913043479,0.4681948424068768,0.7803247373447947,3,1,689
"Market Segmentation, Intro to CHAID, Intro to Statistic platform, Intro to Statistics",Classification and Clustering,10,0.02865329512893983,0.1318051575931232,0.6,0.017191977077363897,4.552173913043479,0.4681948424068768,0.7803247373447947,4,1,1051
"Building Predictive Models, Market Segmentation, ANOVA models",Classification and Clustering,10,0.02865329512893983,0.1318051575931232,0.6,0.017191977077363897,4.552173913043479,0.4681948424068768,0.7803247373447947,3,1,562
"Intro to CHAID, Tables",Classification and Clustering,10,0.02865329512893983,0.1318051575931232,0.6,0.017191977077363897,4.552173913043479,0.4681948424068768,0.7803247373447947,2,1,158
"Building Predictive Models, Maps",ANOVA models,14,0.04011461318051576,0.09455587392550144,0.42857142857142855,0.017191977077363897,4.532467532467532,0.33401555464592714,0.7793696275071633,2,1,120
"ANOVA models, Intro to CHAID",Market Segmentation,12,0.034383954154727794,0.1489971346704871,0.6666666666666666,0.022922636103151862,4.474358974358974,0.5176695319961795,0.7765042979942693,2,1,196
"Decision Trees, Classification and Clustering",Market Segmentation,6,0.017191977077363897,0.1489971346704871,0.6666666666666666,0.011461318051575931,4.474358974358974,0.5176695319961795,0.7765042979942693,2,1,45
"Building Predictive Models, ANOVA models, Classification and Clustering, Intro to Statistics",Market Segmentation,6,0.017191977077363897,0.1489971346704871,0.6666666666666666,0.011461318051575931,4.474358974358974,0.5176695319961795,0.7765042979942693,4,1,1036
"Building Predictive Models, Time Series, Intro to Statistic platform, Intro to Statistics",Market Segmentation,6,0.017191977077363897,0.1489971346704871,0.6666666666666666,0.011461318051575931,4.474358974358974,0.5176695319961795,0.7765042979942693,4,1,1049
"Intro to CHAID, Classification and Clustering, Tables",Market Segmentation,6,0.017191977077363897,0.1489971346704871,0.6666666666666666,0.011461318051575931,4.474358974358974,0.5176695319961795,0.7765042979942693,3,1,705
"Classification and Clustering, Intro to Statistics, Intro to Statistic platform",Market Segmentation,9,0.025787965616045846,0.1489971346704871,0.6666666666666666,0.017191977077363897,4.474358974358974,0.5176695319961795,0.7765042979942693,3,1,812
"Time Series, Classification and Clustering, Intro to Statistic platform",Market Segmentation,6,0.017191977077363897,0.1489971346704871,0.6666666666666666,0.011461318051575931,4.474358974358974,0.5176695319961795,0.7765042979942693,3,1,815
"Time Series, Intro to CHAID, Classification and Clustering",Market Segmentation,6,0.017191977077363897,0.1489971346704871,0.6666666666666666,0.011461318051575931,4.474358974358974,0.5176695319961795,0.7765042979942693,3,1,709
"Building Predictive Models, Intro to CHAID, Tables",Market Segmentation,6,0.017191977077363897,0.1489971346704871,0.6666666666666666,0.011461318051575931,4.474358974358974,0.5176695319961795,0.7765042979942693,3,1,497
"Intro to CHAID, Classification and Clustering, Intermediate Techniques",Market Segmentation,6,0.017191977077363897,0.1489971346704871,0.6666666666666666,0.011461318051575931,4.474358974358974,0.5176695319961795,0.7765042979942693,3,1,681
