antecedent(s),consequent(s),antecedent frequency,antecedent support,consequent support,confidence,rule support,lift,confidence difference,confidence ratio,size antec.set,size conseq.set,rule ID
"Building Predictive Models, Intro to CHAID, Intro to Statistic platform, Intermediate Techniques",Decision Trees,4,0.011461318051575931,0.04011461318051576,1.0,0.011461318051575931,24.928571428571427,0.9598853868194842,0.9598853868194842,4,1,391
"Building Predictive Models, Market Segmentation, Intro to Statistic platform, Intermediate Techniques",Decision Trees,4,0.011461318051575931,0.04011461318051576,1.0,0.011461318051575931,24.928571428571427,0.9598853868194842,0.9598853868194842,4,1,402
"Market Segmentation, Intermediate Techniques, Building Predictive Models, Intro to Statistic platform, Intro to CHAID",Decision Trees,4,0.011461318051575931,0.04011461318051576,1.0,0.011461318051575931,24.928571428571427,0.9598853868194842,0.9598853868194842,5,1,496
"Time Series, Classification and Clustering, Tables",Data Entry,5,0.014326647564469915,0.03724928366762178,0.7999999999999999,0.011461318051575931,21.476923076923075,0.7627507163323781,0.9534383954154728,3,1,334
"Building Predictive Models, Market Segmentation, Intro to CHAID, Intermediate Techniques",Decision Trees,5,0.014326647564469915,0.04011461318051576,0.7999999999999999,0.011461318051575931,19.94285714285714,0.7598853868194841,0.9498567335243553,4,1,393
"Market Segmentation, Intro to CHAID, Intro to Statistic platform, Intermediate Techniques",Decision Trees,5,0.014326647564469915,0.04011461318051576,0.7999999999999999,0.011461318051575931,19.94285714285714,0.7598853868194841,0.9498567335243553,4,1,408
"Intro to CHAID, Intro to Statistic platform, Intermediate Techniques",Decision Trees,5,0.014326647564469915,0.04011461318051576,0.7999999999999999,0.011461318051575931,19.94285714285714,0.7598853868194841,0.9498567335243553,3,1,144
"Market Segmentation, Intro to Statistic platform, Intermediate Techniques",Decision Trees,6,0.017191977077363897,0.04011461318051576,0.6666666666666666,0.011461318051575931,16.619047619047617,0.6265520534861508,0.9398280802292264,3,1,155
"Building Predictive Models, Market Segmentation, Intermediate Techniques",Decision Trees,6,0.017191977077363897,0.04011461318051576,0.6666666666666666,0.011461318051575931,16.619047619047617,0.6265520534861508,0.9398280802292264,3,1,128
"Market Segmentation, Intro to CHAID, Intro to Statistic platform, Classification and Clustering",Decision Trees,7,0.02005730659025788,0.04011461318051576,0.5714285714285714,0.011461318051575931,14.244897959183671,0.5313139582480556,0.9297994269340975,4,1,404
"Market Segmentation, Building Predictive Models, Intro to Statistic platform, Intro to CHAID, Classification and Clustering",Decision Trees,7,0.02005730659025788,0.04011461318051576,0.5714285714285714,0.011461318051575931,14.244897959183671,0.5313139582480556,0.9297994269340975,5,1,492
"Building Predictive Models, Intro to CHAID, Intro to Statistic platform, Classification and Clustering",Decision Trees,7,0.02005730659025788,0.04011461318051576,0.5714285714285714,0.011461318051575931,14.244897959183671,0.5313139582480556,0.9297994269340975,4,1,384
"Intro to CHAID, Classification and Clustering, Intro to Statistic platform",Decision Trees,8,0.022922636103151862,0.04011461318051576,0.5,0.011461318051575931,12.464285714285714,0.4598853868194842,0.9197707736389684,3,1,138
"Building Predictive Models, Intro to Statistic platform, Intermediate Techniques",Decision Trees,8,0.022922636103151862,0.04011461318051576,0.5,0.011461318051575931,12.464285714285714,0.4598853868194842,0.9197707736389684,3,1,126
"Building Predictive Models, Market Segmentation, Intro to CHAID, Intro to Statistic platform",Decision Trees,10,0.02865329512893983,0.04011461318051576,0.5,0.014326647564469915,12.464285714285714,0.4598853868194842,0.9197707736389684,4,1,396
"Market Segmentation, Classification and Clustering, Intro to Statistic platform",Decision Trees,8,0.022922636103151862,0.04011461318051576,0.5,0.011461318051575931,12.464285714285714,0.4598853868194842,0.9197707736389684,3,1,153
"Market Segmentation, Intro to CHAID, Intermediate Techniques",Decision Trees,8,0.022922636103151862,0.04011461318051576,0.5,0.011461318051575931,12.464285714285714,0.4598853868194842,0.9197707736389684,3,1,147
"Building Predictive Models, Market Segmentation, Intro to Statistic platform, Classification and Clustering",Decision Trees,8,0.022922636103151862,0.04011461318051576,0.5,0.011461318051575931,12.464285714285714,0.4598853868194842,0.9197707736389684,4,1,399
"Building Predictive Models, Intro to CHAID, Intro to Statistic platform",Decision Trees,11,0.03151862464183381,0.04011461318051576,0.4545454545454546,0.014326647564469915,11.331168831168831,0.4144308413649388,0.9117478510028654,3,1,119
"Building Predictive Models, Intro to CHAID, Intermediate Techniques",Decision Trees,9,0.025787965616045846,0.04011461318051576,0.4444444444444444,0.011461318051575931,11.079365079365077,0.40432983126392863,0.9097421203438395,3,1,117
"Building Predictive Models, Market Segmentation, Intro to CHAID, Classification and Clustering",Decision Trees,9,0.025787965616045846,0.04011461318051576,0.4444444444444444,0.011461318051575931,11.079365079365077,0.40432983126392863,0.9097421203438395,4,1,387
"Building Predictive Models, Market Segmentation, Intro to Statistics",Decision Trees,12,0.034383954154727794,0.04011461318051576,0.4166666666666667,0.014326647564469915,10.386904761904761,0.37655205348615095,0.9037249283667622,3,1,132
"Building Predictive Models, Market Segmentation, Intro to Statistic platform",Decision Trees,12,0.034383954154727794,0.04011461318051576,0.4166666666666667,0.014326647564469915,10.386904761904761,0.37655205348615095,0.9037249283667622,3,1,130
"Market Segmentation, Intro to CHAID, Classification and Clustering",Decision Trees,10,0.02865329512893983,0.04011461318051576,0.39999999999999997,0.011461318051575931,9.97142857142857,0.35988538681948423,0.8997134670487106,3,1,142
"Building Predictive Models, Market Segmentation, ANOVA models",Decision Trees,10,0.02865329512893983,0.04011461318051576,0.39999999999999997,0.011461318051575931,9.97142857142857,0.35988538681948423,0.8997134670487106,3,1,135
"Classification and Clustering, Tables",Data Entry,11,0.03151862464183381,0.03724928366762178,0.36363636363636365,0.011461318051575931,9.762237762237762,0.3263870799687419,0.8975644699140402,2,1,50
"Time Series, Tables",Data Entry,11,0.03151862464183381,0.03724928366762178,0.36363636363636365,0.011461318051575931,9.762237762237762,0.3263870799687419,0.8975644699140402,2,1,78
"Market Segmentation, Maps",Perceptual Mapping,8,0.022922636103151862,0.05157593123209169,0.5,0.011461318051575931,9.694444444444445,0.4484240687679083,0.8968481375358166,2,1,94
"Classification and Clustering, Intermediate Techniques",Decision Trees,13,0.03724928366762178,0.04011461318051576,0.38461538461538464,0.014326647564469915,9.587912087912088,0.3445007714348689,0.8957020057306591,2,1,10
"Market Segmentation, ANOVA models",Decision Trees,11,0.03151862464183381,0.04011461318051576,0.36363636363636365,0.011461318051575931,9.064935064935064,0.32352175045584786,0.8896848137535817,2,1,20
"Building Predictive Models, Market Segmentation, Maps",ANOVA models,7,0.02005730659025788,0.09455587392550144,0.8571428571428571,0.017191977077363897,9.064935064935064,0.7625869832173556,0.8896848137535817,3,1,238
"Building Predictive Models, Classification and Clustering, Intro to Statistic platform",Decision Trees,11,0.03151862464183381,0.04011461318051576,0.36363636363636365,0.011461318051575931,9.064935064935064,0.32352175045584786,0.8896848137535817,3,1,122
"Time Series, Classification and Clustering",Data Entry,12,0.034383954154727794,0.03724928366762178,0.3333333333333333,0.011461318051575931,8.948717948717947,0.29608404966571156,0.8882521489971347,2,1,53
"Market Segmentation, Intro to CHAID, Intro to Statistic platform",Decision Trees,14,0.04011461318051576,0.04011461318051576,0.35714285714285715,0.014326647564469915,8.903061224489795,0.3170282439623414,0.8876790830945559,3,1,150
"Building Predictive Models, Market Segmentation, Intro to CHAID, Maps",ANOVA models,5,0.014326647564469915,0.09455587392550144,0.7999999999999999,0.011461318051575931,8.46060606060606,0.7054441260744985,0.8818051575931232,4,1,436
"Building Predictive Models, Market Segmentation, Classification and Clustering, Time Series",ANOVA models,5,0.014326647564469915,0.09455587392550144,0.7999999999999999,0.011461318051575931,8.46060606060606,0.7054441260744985,0.8818051575931232,4,1,464
"Building Predictive Models, Market Segmentation, Classification and Clustering",Decision Trees,12,0.034383954154727794,0.04011461318051576,0.3333333333333333,0.011461318051575931,8.309523809523808,0.2932187201528176,0.8796561604584527,3,1,125
"Building Predictive Models, ANOVA models, FastTrack",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,3,1,218
"Building Predictive Models, Time Series, FastTrack",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,3,1,215
"Data Entry, Time Series",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,2,1,76
"Data Entry, Classification and Clustering",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,2,1,48
"ANOVA models, FastTrack",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,2,1,83
"FastTrack, Intermediate Techniques, Intro to Statistics, Intro to Platform & Statistics",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,4,1,488
"Building Predictive Models, FastTrack, Intermediate Techniques",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,3,1,210
"Data Entry, Time Series, Classification and Clustering",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,3,1,331
"Time Series, Intermediate Techniques, Intro to Statistics, Intro to Platform & Statistics",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,4,1,491
"Time Series, FastTrack, Intro to Statistics",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,3,1,366
"FastTrack, Intermediate Techniques, Intro to Platform & Statistics",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,3,1,359
"Time Series, FastTrack, Intermediate Techniques",Tables,4,0.011461318051575931,0.12320916905444126,1.0,0.011461318051575931,8.116279069767442,0.8767908309455588,0.8767908309455588,3,1,361
"Market Segmentation, Maps",ANOVA models,8,0.022922636103151862,0.09455587392550144,0.75,0.017191977077363897,7.931818181818182,0.6554441260744985,0.8739255014326648,2,1,99
"Building Predictive Models, Intro to CHAID, Classification and Clustering",Decision Trees,13,0.03724928366762178,0.04011461318051576,0.30769230769230765,0.011461318051575931,7.670329670329669,0.2675776945117919,0.8696275071633237,3,1,115
