TICKET,Decision Trees,Building Predictive Models,Intro to CHAID,Classification and Clustering,Data Entry,FastTrack,Intermediate Techniques,Intro to Statistic platform,Intro to Platform & Statistics,Maps,Perceptual Mapping,Market Segmentation,Neural Networks,Scripting,Intro to Statistics,Tables,Time Series,ANOVA models,Rule prediction,Rule confidence,Rule ID
495,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
498,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,Market Segmentation,0.800,183
519,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Market Segmentation,0.500,143
542,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Market Segmentation,0.667,361
544,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
551,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Time Series,0.667,643
552,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,Building Predictive Models,0.700,264
554,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,
560,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Building Predictive Models,0.615,68
573,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
581,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Market Segmentation,0.571,450
587,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,Market Segmentation,0.800,596
590,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
591,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
608,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Intro to Statistics,0.667,152
623,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
624,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
626,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Intro to Statistics,0.615,59
628,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Market Segmentation,0.727,343
630,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Building Predictive Models,0.750,52
639,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
683,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
684,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
690,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
720,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Building Predictive Models,0.786,50
724,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,Market Segmentation,0.875,472
729,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
756,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Intro to CHAID,0.643,107
761,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Maps,0.600,439
762,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Market Segmentation,0.714,365
767,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,
769,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Building Predictive Models,0.800,87
801,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
810,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,
821,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
836,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Intro to Platform & Statistics,0.500,100
837,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Intro to Platform & Statistics,0.500,100
874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Classification and Clustering,0.750,379
876,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
878,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
894,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,Intro to CHAID,0.833,483
896,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,Classification and Clustering,0.800,791
900,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
913,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Building Predictive Models,0.727,3
918,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,Time Series,0.714,418
919,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,Classification and Clustering,0.714,25
920,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Tables,0.714,417
921,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Intro to CHAID,0.833,285
922,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,Building Predictive Models,0.909,83
927,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,
928,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,
929,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
931,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Market Segmentation,0.700,322
946,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
950,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,,
955,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
956,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,Classification and Clustering,0.667,711
