TICKET,Decision Trees,Building Predictive Models,Intro to CHAID,Classification and Clustering,Data Entry,FastTrack,Intermediate Techniques,Intro to Statistic platform,Intro to Platform & Statistics,Maps,Perceptual Mapping,Market Segmentation,Neural Networks,Scripting,Intro to Statistics,Tables,Time Series,ANOVA models,Rule prediction,Rule confidence,Rule ID
2129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Market Segmentation,0.571,1
2132,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Market Segmentation,0.889,313
2133,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Intro to CHAID,0.833,539
2134,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Classification and Clustering,0.615,348
2138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Tables,0.833,161
2152,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
2164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
2170,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
2178,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
2179,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Intro to CHAID,0.520,40
2180,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Market Segmentation,0.692,267
2205,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Intro to CHAID,0.833,539
2211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,
2218,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
2228,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
2236,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,
2239,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,
2240,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,
2243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
2248,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,Building Predictive Models,0.857,58
2249,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Intro to CHAID,0.533,101
2250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
2252,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
2253,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,
2268,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,Building Predictive Models,0.875,72
2271,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,
2273,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,,
2275,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Intro to CHAID,0.500,5
2276,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
2277,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,Time Series,0.800,433
2279,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Intro to Platform & Statistics,0.667,178
2281,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Market Segmentation,0.857,189
2287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ANOVA models,0.500,89
2293,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,
2306,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Tables,0.583,627
2323,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,Time Series,0.800,836
2336,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,Intro to Statistics,0.833,445
2337,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Intro to CHAID,0.567,45
2342,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,
2357,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
2379,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
2382,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Intro to CHAID,0.567,45
2390,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,,
2413,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Classification and Clustering,0.667,711
2421,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
2438,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,Building Predictive Models,0.900,268
2474,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,
2497,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
2502,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
2503,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
2505,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
2521,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
2522,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
2549,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Intermediate Techniques,0.700,626
2552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Intermediate Techniques,0.700,626
2555,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Intermediate Techniques,0.700,626
2561,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Intro to Statistics,0.636,159
2562,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
2569,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
2570,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
2583,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Intro to Platform & Statistics,0.500,100
2584,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,
2608,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Building Predictive Models,0.714,289
2623,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Building Predictive Models,0.800,80
2638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Market Segmentation,0.813,115
2642,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Market Segmentation,0.692,267
2654,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
2656,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
2663,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
